,Regions,Cells [mm-3],Neurons [mm-3],Glia [mm-3],Excitatory [mm-3],Inhibitory [mm-3],Modulatory [mm-3],Astrocytes [mm-3],Oligodendrocytes [mm-3],Microglia [mm-3],acronym
47,Primary somatosensory area lower limb layer 4,172279.798084,81333.4706913,90946.3273926,79365.4064077,1262.59400433,705.47027918,13918.2033584,43234.7790254,33793.3450088,SSp-ll4
48,Primary somatosensory area lower limb layer 5,170250.166539,77009.8898283,93240.2767102,74231.0359552,1819.04517892,959.808694167,13872.4058417,49566.7947733,29801.0760953,SSp-ll5
49,Primary somatosensory area lower limb layer 6a,166353.918947,72405.1841185,93948.7348282,70665.9535075,1149.39312899,589.837482,9653.32236165,60288.5003086,24006.912158,SSp-ll6a
50,Primary somatosensory area lower limb layer 6b,146388.351673,58679.1152606,87709.2364121,57356.0075581,974.547071246,348.560631322,5093.25330666,69904.1902857,12711.7928198,SSp-ll6b
51,Primary somatosensory area mouth,139099.240341,63498.983258,75600.257083,56484.411712,6605.26177155,409.30977442,8961.65881721,34656.8047961,31981.7934697,SSp-m
52,Primary somatosensory area mouth layer 1,79537.7824396,41435.9512259,38101.8312137,0.0,41324.068004,111.883221887,6259.86626459,2995.67326603,28846.2916831,SSp-m1
53,Primary somatosensory area mouth layer 2/3,146471.539572,71264.358726,75207.1808458,69935.7440835,1113.50560509,215.109037348,9024.45679037,17494.6914727,48688.0325827,SSp-m2/3
54,Primary somatosensory area mouth layer 4,156811.735941,65975.5501222,90836.1858191,64114.0994295,1535.45232274,325.998370008,9450.69274654,34976.3651182,46409.1279544,SSp-m4
55,Primary somatosensory area mouth layer 5,144498.922434,62458.3754506,82040.5469838,60363.8166803,1395.15190815,699.406862091,10397.1163199,44331.1654874,27312.2651765,SSp-m5
56,Primary somatosensory area mouth layer 6a,148805.085878,67162.6465796,81642.439298,64762.4542565,1912.97379598,487.218527126,8525.46945535,58384.1653979,14732.8044448,SSp-m6a
57,Primary somatosensory area mouth layer 6b,138476.96793,60706.7055394,77770.2623907,49044.8979592,11232.6530612,429.15451895,7519.5335277,62451.3119534,7799.41690962,SSp-m6b
58,Primary somatosensory area upper limb,146392.121755,65066.8908163,81325.2309384,58637.5425678,5968.02989173,461.318356761,12527.2621025,40000.5757268,28797.3931091,SSp-ul
59,Primary somatosensory area upper limb layer 1,84072.3178521,42065.6057161,42006.712136,0.0,41920.1039298,145.501786294,9008.98560139,5735.19540977,27262.5311248,SSp-ul1
60,Primary somatosensory area upper limb layer 2/3,151461.069736,72266.0798917,79194.9898443,70677.0480704,1252.53893026,336.492890995,13622.2071767,25853.7576168,39719.0250508,SSp-ul2/3
61,Primary somatosensory area upper limb layer 4,171422.371704,73611.8042747,97810.5674297,71714.4407074,1404.36150591,493.002061408,14904.6327438,44642.7253987,38263.2092872,SSp-ul4
62,Primary somatosensory area upper limb layer 5,151549.04014,63689.3542757,87859.6858639,61576.9633508,1417.10296684,695.287958115,14337.1727749,47465.9685864,26056.5445026,SSp-ul5
63,Primary somatosensory area upper limb layer 6a,153642.424242,66206.0606061,87436.3636364,63837.2294372,1864.93506494,503.896103896,10497.8354978,58838.961039,18099.5670996,SSp-ul6a
64,Primary somatosensory area upper limb layer 6b,138350.070669,57358.6253069,80991.4453619,50641.0771405,6427.13679982,290.41136651,6793.72163951,66423.2686156,7774.45510675,SSp-ul6b
65,Primary somatosensory area trunk,192403.969952,97979.3909952,94424.5789567,88526.0411472,8848.42440523,604.925442759,13319.2722827,44038.283977,37067.0226969,SSp-tr
66,Primary somatosensory area trunk layer 1,117321.720196,68434.2829493,48887.4372467,0.0,68318.1515756,116.131373616,10213.7543096,6023.3472449,32650.3356923,SSp-tr1
67,Primary somatosensory area trunk layer 2/3,198415.089207,111067.443495,87347.645712,108872.254086,1790.39241912,404.796989413,15031.1713632,26327.0386072,45989.4357417,SSp-tr2/3
68,Primary somatosensory area trunk layer 4,223463.203972,116513.881136,106949.322836,114058.34484,1716.61917213,738.917124475,15851.9345457,47232.4098828,43864.9784071,SSp-tr4
69,Primary somatosensory area trunk layer 5,199685.726929,95785.240179,103900.48675,92925.7092286,1911.598407,947.93254339,14860.9076159,52045.8232951,36993.7558385,SSp-tr5
70,Primary somatosensory area trunk layer 6a,200109.610239,93060.8981592,107048.71208,91114.2203166,1273.02620974,673.65163287,10375.0604468,69179.7930301,27493.8586028,SSp-tr6a
71,Primary somatosensory area trunk layer 6b,177930.988938,71153.3762589,106777.61268,67444.6095427,3344.22981674,364.536899455,6936.76737659,85280.5018986,14560.3434043,SSp-tr6b
72,Supplemental somatosensory area,160649.447425,82648.8273224,78000.6201029,74901.1986904,7364.04769537,383.580936566,4928.03127841,35468.0357978,37604.5530267,SSs
73,Supplemental somatosensory area layer 1,83508.0815179,47066.7603654,36441.3211525,0.0,46992.2698524,74.4905130007,1146.87280394,2245.95924104,33048.4891075,SSs1
74,Supplemental somatosensory area layer 2/3,166722.09695,93860.7044177,72861.3925324,90726.4585384,2936.40761796,197.838261293,3962.1854522,19672.7114894,49226.4955908,SSs2/3
75,Supplemental somatosensory area layer 4,182147.033628,93274.9357524,88872.097876,91679.3990379,1260.96602016,334.570694313,5573.83530652,40130.2084477,43168.0541217,SSs4
76,Supplemental somatosensory area layer 5,162068.143727,77135.4981023,84932.6456245,75036.5588607,1554.30845255,544.630789027,6149.41447432,44765.6059082,34017.6252419,SSs5
77,Supplemental somatosensory area layer 6a,183977.515892,92780.4301412,91197.0857508,90841.9719431,1347.88849619,590.569701941,6222.21150019,53986.5626093,30988.3116413,SSs6a
78,Supplemental somatosensory area layer 6b,155322.151062,69806.6483684,85515.5026939,65646.0302938,3685.6765274,474.94154722,5627.73203212,55672.2578022,24215.5128596,SSs6b
79,Gustatory areas,127614.286737,71259.8382363,56354.4485005,63768.2055687,7047.74175077,443.890916899,9198.02447928,29035.6882113,18120.7358099,GU
80,Gustatory areas layer 1,57444.1107774,33409.4094094,24034.701368,0.0,33356.0226894,53.3867200534,4441.77510844,6224.89155822,13368.0347014,GU1
81,Gustatory areas layer 2/3,130514.096968,77183.9094019,53330.1875664,76006.1342456,955.054854312,222.720301994,8665.3297157,17606.2286186,27058.629232,GU2/3
82,Gustatory areas layer 4,121553.324173,63898.5308107,57654.7933622,62816.1927915,689.990487264,392.347531973,8435.47193743,26496.9876334,22722.3337914,GU4
83,Gustatory areas layer 5,141932.569769,78008.2809055,63924.2888638,76077.6469323,1257.83728558,672.796687638,11470.237135,36907.4581922,15546.5935366,GU5
84,Gustatory areas layer 6a,161304.015169,88264.2626659,73039.7525032,85764.8115498,1788.36366056,711.087455507,10806.8261202,47357.572935,14875.353448,GU6a
85,Gustatory areas layer 6b,146423.483366,74019.5694716,72403.9138943,64526.0273973,8892.36790607,601.174168297,10457.925636,51525.6360078,10420.3522505,GU6b
86,Visceral area,139179.756877,80115.735699,59064.0211781,70946.4084925,8733.01637051,436.310836056,3505.21926213,32498.3576368,23060.4442792,VISC
87,Visceral area layer 1,65871.2490382,42142.4980764,23728.7509618,0.0,42073.5573224,68.9407540395,1654.57809695,8112.02872531,13962.1441395,VISC1
88,Visceral area layer 2/3,151149.519249,95321.1102028,55828.4090467,91905.4848379,3166.49149441,249.133870528,2850.09147884,19646.6970299,33331.620538,VISC2/3
89,Visceral area layer 4,148884.268408,85225.1911676,63659.0772403,83762.5225535,1121.74585445,340.922759687,4206.54695421,32096.2281983,27356.3020878,VISC4
90,Visceral area layer 5,147694.403064,82368.7309357,65325.6721288,80446.0523516,1268.92246577,653.756118323,4510.46321912,38878.0591615,21937.1497482,VISC5
91,Visceral area layer 6a,168328.545554,90512.7837918,77815.7617624,88547.5759235,1253.52765258,711.680215661,3593.44593741,54572.9329009,19649.3829241,VISC6a
92,Visceral area layer 6b,157471.472905,75305.8009071,82165.6719981,73289.0904751,1481.9766054,534.733826689,6920.98352829,57873.4781571,17371.2103127,VISC6b
93,Auditory areas,186286.866431,108440.846206,77846.0202246,99026.7386314,9003.66027669,410.447298219,3917.73683231,41397.1090018,32531.1743905,AUD
94,Dorsal auditory area,183592.729408,99416.6890917,84176.0403161,90797.2698584,8186.51075177,432.908481542,5457.15194364,41612.4470974,37106.441275,AUDd
95,Dorsal auditory area layer 1,98974.4209466,54448.3383686,44526.082578,0.0,54390.3323263,58.0060422961,2130.11077543,3009.86908359,39386.102719,AUDd1
96,Dorsal auditory area layer 2/3,188063.327655,108844.338444,79218.9892107,107486.564452,1165.88302101,191.890971039,5470.34639409,19161.4764338,54587.1663827,AUDd2/3
97,Dorsal auditory area layer 4,206152.414458,115115.020144,91037.3943142,113237.473756,1358.22504681,519.321341429,6714.86126085,40554.2756625,43768.2573909,AUDd4
98,Dorsal auditory area layer 5,189738.303996,99177.6543293,90560.6496665,96753.1847489,1726.25660933,698.212971019,6776.52098253,52847.1543627,30936.9743212,AUDd5
99,Dorsal auditory area layer 6a,211660.475994,111392.48865,100267.987344,108033.567203,2747.00784152,611.913605723,5258.49497868,73449.4428395,21560.0495254,AUDd6a
100,Dorsal auditory area layer 6b,182922.602148,82613.0107394,100309.591408,79057.8940871,3191.70472781,363.411924454,4218.73842735,84129.860511,11960.9924701,AUDd6b
101,Primary auditory area,189335.247403,111015.555645,78319.6917582,101570.034855,9039.06424958,406.456540089,3467.00813671,43839.2411096,31013.4425119,AUDp
102,Primary auditory area layer 1,100179.367052,60034.8025624,40144.5644899,0.0,59976.6708098,58.1317525576,850.559326895,1493.06817095,37800.9369921,AUDp1
103,Primary auditory area layer 2/3,197324.012106,125059.039175,72264.9729315,123464.427299,1426.82978814,167.782087898,2976.42695767,20225.2440428,49063.301931,AUDp2/3
104,Primary auditory area layer 4,212955.503513,129186.57299,83768.930523,127185.01171,1611.2412178,390.320062451,5120.99921936,43228.7275566,35419.2037471,AUDp4
105,Primary auditory area layer 5,194226.506406,108248.324011,85978.1823952,105691.776746,1916.77575469,639.771510175,4541.86996708,61527.2323377,19909.0800904,AUDp5
106,Primary auditory area layer 6a,217986.886663,123116.651056,94870.2356078,119252.395706,3244.03775488,620.217594928,3246.3433965,74433.0283162,17190.8638951,AUDp6a
107,Primary auditory area layer 6b,184637.612878,89906.5567334,94731.0561445,85048.5538542,4305.19565502,552.807224185,2914.80172752,78548.8810365,13267.3733804,AUDp6b
108,Posterior auditory area,181795.898517,112271.054551,69524.8439653,101900.948367,10038.096782,332.00940261,3595.03931264,20345.9512037,45583.853449,AUDpo
109,Posterior auditory area layer 1,104641.077441,60853.8720539,43787.2053872,0.0,60724.5791246,129.292929293,2197.97979798,2628.95622896,38960.2693603,AUDpo1
110,Posterior auditory area layer 2/3,197736.379613,129574.692443,68161.6871705,128037.492677,1424.72173404,112.478031634,4274.16520211,7873.46221441,56014.059754,AUDpo2/3
111,Posterior auditory area layer 4,199342.709104,128094.744634,71247.9644708,125489.267209,2084.3819393,521.095484826,4737.23168024,14116.9504071,52393.7823834,AUDpo4
112,Posterior auditory area layer 5,181405.301205,110311.325301,71093.9759036,108028.915663,1835.18072289,447.228915663,3886.26506024,24134.939759,43072.7710843,AUDpo5
113,Posterior auditory area layer 6a,204791.327913,118850.948509,85940.3794038,110048.780488,8281.84281843,520.325203252,2254.74254743,48433.604336,35252.0325203,AUDpo6a
114,Posterior auditory area layer 6b,190750.542299,99956.6160521,90793.9262473,86212.5813449,13327.5488069,416.485900217,1388.28633406,64000.0,25405.6399132,AUDpo6b
115,Ventral auditory area,186076.061129,114350.392609,71725.6685201,104256.769633,9695.29714017,398.325834972,2897.12569506,40186.1362732,28642.4065519,AUDv
116,Ventral auditory area layer 1,92087.4238624,59104.2637048,32983.1601576,0.0,59075.6001433,28.6635614475,805.446076675,3250.44786815,28927.2662128,AUDv1
117,Ventral auditory area layer 2/3,194665.847414,132504.249872,62161.5975422,130452.841782,1882.64208909,168.766001024,2226.7281106,18195.5965182,41739.2729135,AUDv2/3
118,Ventral auditory area layer 4,205105.883608,130567.237425,74538.6461834,128778.364538,1430.41553315,358.457353177,3417.29343362,40440.8171974,30680.5355524,AUDv4
119,Ventral auditory area layer 5,192920.399136,113610.698488,79309.7006481,111237.938484,1807.87984775,564.880156363,3910.70877482,52288.9414669,23110.0504063,AUDv5
120,Ventral auditory area layer 6a,223022.504562,129040.210854,93982.2937082,126276.40738,2086.90950868,676.893964993,3226.59998648,68924.2414003,21831.4523214,AUDv6a
121,Ventral auditory area layer 6b,183435.294118,90506.9518717,92928.342246,84731.5508021,5159.35828877,616.042780749,3448.12834225,72290.9090909,17189.3048128,AUDv6b
122,Visual areas,183523.17063,100233.976999,83289.1936314,88383.9659649,11476.9366942,373.074339683,11222.7923416,34185.7726337,37880.6286561,VIS
123,Anterolateral visual area,183217.692513,91971.8320582,91245.8604545,83577.3590651,7920.88614822,473.58684481,9078.54287998,39230.2386662,42937.0789083,VISal
124,Anterolateral visual area layer 1,97233.5683421,50339.7771208,46893.7912213,0.0,50281.5556061,58.2215146691,5945.87218558,4712.30384353,36235.6151922,VISal1
125,Anterolateral visual area layer 2/3,187175.443059,99302.2979734,87873.1450861,97619.9440346,1396.53466746,285.819271319,9925.88823879,21993.6120297,55953.6448175,VISal2/3
126,Anterolateral visual area layer 4,203414.961331,102809.116419,100605.844911,101017.589487,1235.23372801,556.293203751,11590.1717884,39663.2674013,49352.4057217,VISal4
127,Anterolateral visual area layer 5,196068.004548,94631.8711827,101436.133365,92371.1165754,1582.18978874,678.564818487,10417.0698818,49203.5641575,41815.4993258,VISal5
128,Anterolateral visual area layer 6a,209382.56088,104537.313433,104845.247447,102683.42498,1143.75490966,710.133542812,7566.37863315,66689.709348,30589.1594658,VISal6a
129,Anterolateral visual area layer 6b,193637.795276,84455.2612742,109182.534001,82966.3564782,984.967788117,503.937007874,3458.84037223,88280.6012885,17443.0923407,VISal6b
130,Anteromedial visual area,180961.690973,90879.8301063,90081.8608664,80254.575017,10073.6316427,551.623446651,12580.0939061,49574.9672324,27926.7997279,VISam
131,Anteromedial visual area layer 1,105305.785124,56727.2727273,48578.5123967,0.0,56604.9586777,122.314049587,9550.41322314,13282.6446281,25745.4545455,VISam1
132,Anteromedial visual area layer 2/3,196747.855022,107480.246632,89267.6083907,105958.177014,1175.48037712,346.589240857,14694.5486576,33671.353538,40901.7061952,VISam2/3
133,Anteromedial visual area layer 4,203055.416875,102938.924946,100116.491929,100925.944417,1379.26443668,633.716092528,15459.4774505,51235.1472791,33421.8671992,VISam4
134,Anteromedial visual area layer 5,188305.561676,90433.1623178,97872.3993579,87947.3733908,1637.71993327,848.068993736,12817.7268578,59975.1975072,25079.4749929,VISam5
135,Anteromedial visual area layer 6a,199491.413537,94541.2102368,104950.203301,93203.3484812,560.24874432,777.613011241,10604.9270509,77418.4166467,16926.859603,VISam6a
136,Anteromedial visual area layer 6b,197162.52783,81471.4848433,115691.042987,80649.4262716,361.705771536,460.352800137,11377.290632,93703.7163898,10610.0359651,VISam6b
137,Lateral visual area,163430.430119,80853.1783107,82577.251808,74364.3724696,6225.26731029,263.538530745,9079.89895844,31011.1768573,42486.1759922,VISl
138,Lateral visual area layer 1,86835.228051,40849.1987399,45986.0293111,0.0,40840.4328174,8.76592247637,4076.15395151,2559.6493631,39350.2259964,VISl1
139,Lateral visual area layer 2/3,170249.64765,92868.4355659,77381.2120841,91754.6418285,964.764997855,149.028739506,8867.21000061,12734.1136099,55779.8884736,VISl23
140,Lateral visual area layer 4,180479.22938,95922.9379892,84556.2913907,94612.8838049,1021.07164359,288.982540638,11462.974112,23118.6032511,49974.7140277,VISl4
141,Lateral visual area layer 5,169479.076845,79788.9931524,89690.0836926,77589.6525488,1846.30991631,353.030687294,10327.1620593,38776.5660664,40586.3555668,VISl5
142,Lateral visual area layer 6a,190450.677189,88454.7296577,101995.947531,87082.8623227,907.753012691,464.114322278,9978.45792898,65515.196758,26502.2928442,VISl6a
143,Lateral visual area layer 6b,157517.819706,56271.6981132,101246.121593,55278.8259958,617.190775681,375.681341719,7433.12368973,78141.7190776,15671.278826,VISl6b
144,Primary visual area,183922.23348,100245.618611,83676.6148691,89000.2106678,10923.4272644,321.980678752,11687.2887052,32537.2229969,39452.103167,VISp
145,Primary visual area layer 1,104585.705732,63579.6273112,41006.0784207,0.0,63542.4672945,37.160016693,7848.89227587,4627.5833288,28529.602816,VISp1
146,Primary visual area layer 2/3,185278.857652,108864.407223,76414.4504281,104521.248833,4183.39719475,159.761196114,12812.7362072,19340.6010247,44261.1131962,VISp2/3
147,Primary visual area layer 4,212685.784015,117128.737035,95557.0469799,114449.054301,2359.97559487,319.707138499,14396.5832825,36281.8791946,44878.5845027,VISp4
148,Primary visual area layer 5,199836.159976,104354.999474,95481.1605016,102002.314881,1877.61739413,475.067198515,12079.9303623,42555.858467,40845.3716724,VISp5
149,Primary visual area layer 6a,200755.583413,99386.5338304,101369.049583,97992.0166265,810.741266123,583.775937716,10512.1894897,55030.1190908,35826.7410022,VISp6a
150,Primary visual area layer 6b,186043.907986,80155.3398058,105888.56818,79175.7194087,436.630805563,542.989591533,9124.4642701,71260.3866002,25503.7173095,VISp6b
151,Posterolateral visual area,179613.581928,99440.0037571,80173.5781712,88341.5206875,10808.4346968,290.048372705,10038.9799465,28893.6270136,41240.9712112,VISpl
152,Posterolateral visual area layer 1,104825.902695,64564.1634175,40261.7392778,0.0,64531.6155281,32.5478894728,8614.3414138,3515.17206306,28132.225801,VISpl1
153,Posterolateral visual area layer 2/3,184070.79646,109821.647379,74249.149081,105568.413887,4122.53233492,130.70115725,11567.0524166,17486.7256637,45195.3710007,VISpl2/3
154,Posterolateral visual area layer 4,205916.544349,117881.316838,88035.227511,116740.616481,872.300272594,268.400083875,12131.6837912,31120.9897253,44782.5539945,VISpl4
155,Posterolateral visual area layer 5,188398.805199,99288.6090256,89110.1961734,97438.9279083,1462.17808993,387.503027367,9997.57810608,36420.1178655,42692.5002018,VISpl5
156,Posterolateral visual area layer 6a,202290.809722,101904.7893,100386.020423,100091.471307,1205.81044154,607.507550698,7823.9608802,51113.4761973,41448.5833453,VISpl6a
157,Posterolateral visual area layer 6b,175806.2954,75854.7215496,99951.5738499,74847.4576271,619.85472155,387.409200969,5656.17433414,59661.0169492,34634.3825666,VISpl6b
158,posteromedial visual area,202918.869178,143204.948622,59713.9205562,116216.553346,26672.6649967,315.730279638,12591.5852973,15634.3745207,31487.9607382,VISpm
159,posteromedial visual area layer 1,131551.896501,95068.509262,36483.387239,0.0,94955.6012937,112.907968245,10227.5801235,3655.39547192,22600.4116436,VISpm1
160,posteromedial visual area layer 2/3,213236.943868,160303.49656,52933.4473074,142645.988521,17456.9137461,200.594293157,13616.9658485,6567.50926039,32748.9721985,VISpm2/3
161,posteromedial visual area layer 4,216405.976578,148494.817607,67911.1589716,134021.806434,14257.6389824,215.372190066,14783.1471261,19728.09261,33399.9192354,VISpm4
162,posteromedial visual area layer 5,230273.718827,164126.938887,66146.7799397,151593.532475,12105.4535489,427.952863798,13943.546177,19306.9882159,32896.2455467,VISpm5
163,posteromedial visual area layer 6a,213513.121904,132806.978635,80706.143269,129329.48917,2876.6171361,600.872329415,10465.5873438,34860.0576625,35380.4982627,VISpm6a
164,posteromedial visual area layer 6b,174018.348624,90935.7798165,83082.5688073,89394.4954128,733.944954128,807.339449541,6605.50458716,48000.0,28477.0642202,VISpm6b
165,Anterior cingulate area,151671.684034,75980.6964478,75690.9875867,60862.4128244,14396.979407,721.304216444,9435.93057662,32432.0740548,33822.9829553,ACA
166,Anterior cingulate area dorsal part,145192.068372,66059.0189829,79133.0493893,54585.4850083,10733.7601895,739.773785011,8218.38490396,31388.5764251,39526.0880602,ACAd
167,Anterior cingulate area dorsal part layer 1,82089.3758773,34697.1150824,47392.2607949,0.0,34418.2187677,278.896314764,6476.29423226,7569.08508097,33346.8814816,ACAd1
168,Anterior cingulate area dorsal part layer 2/3,170381.837775,83901.0063743,86480.8314003,81798.1041442,1128.01592665,974.886303447,10258.5158262,24107.9797629,52114.3358112,ACAd2/3
