id,atlas_id,name,acronym,st_level,ontology_id,hemisphere_id,weight,parent_structure_id,depth,graph_id,graph_order,structure_id_path,color_hex_triplet,neuro_name_structure_id,neuro_name_structure_id_path,failed,sphinx_id,structure_name_facet,failed_facet,safe_name
112766487,,r2 part of trigeminal sensory column,r2Tr,7,112755220,3,8000,112766473,6,112755225,1391,/112763676/112763678/112766069/112766071/112766467/112766473/112766487/,EE80FF,,,f,13370,2782292269,734881840,r2 part of trigeminal sensory column
10531,,IZ in occipital neocortex,oIZ,,11,3,8660,10529,7,16,371,/10153/10154/10155/10156/10157/10506/10529/10531/,EED2C7,,,f,6971,3834625614,734881840,IZ in occipital neocortex
5832,5831,p3 portion of the ventral tegmental area,p3VTA,11,8,3,8000,7638,9,13,612,/6070/5012/5450/5440/7386/8042/6684/7578/7638/5832/,EDE45C,,,f,5282,745428730,734881840,p3 portion of the ventral tegmental area
11411,,layer VI of medial intermediate entorhinal cortex,EMI6,,11,3,8660,11409,13,16,1492,/10153/10154/10155/10156/10157/10158/10159/10313/10314/10317/10318/11401/11409/11411/,C4AD9A,,,f,8092,2324290267,734881840,layer VI of medial intermediate entorhinal cortex
112766245,,ventricular zone of isBM,isBMv,9,112755220,3,8000,112766243,7,112755225,1270,/112763676/112763678/112766069/112766071/112766073/112766199/112766243/112766245/,BB2CCC,,,f,13324,4266915622,734881840,ventricular zone of isBM
15746,,"subfornical organ, periventricular part",SFOp,11,12,3,8390,15745,10,17,184,/15564/15565/15566/15567/15738/15739/15740/15741/15744/15745/15746/,FAB17C,,,f,10101,107103153,734881840,subfornical organ periventricular part
265505626,,solitary tract,sol,,7,3,8490,9298,3,10,1743,/4005/9218/9298/265505626/,F2F1F0,,,f,4574,3517832558,734881840,solitary tract
2229,2229,"ventricles, spinal cord roof",v_SCR,5,2,3,8000,2228,3,4,1098,/2000/2117/2228/2229/,FFEB5D,,,f,2479,1483157188,734881840,ventricles spinal cord roof
46,571,mammillary related,mfbsma,8,1,3,8690,824,4,1,1277,/997/1009/991/824/46/,CCCCCC,,,f,1278,2838641316,734881840,mammillary related
4672,4666,"medial mammillary nucleus, left",MM,,7,1,8490,4671,7,10,602,/4005/4006/4391/4540/4665/12909/4671/4672/,7FFF89,,,f,3433,4216680350,734881840,medial mammillary nucleus left
15916,,OB olfactory fiber layer,OB-OF,11,12,3,8390,15914,12,17,363,/15564/15565/15566/15567/15738/15739/15750/15903/15904/15905/15907/15914/15916/,DE5548,,,f,10280,426536752,734881840,OB olfactory fiber layer
3480,3480,periventricular strum of DPrP,DPrPp,10,2,3,8000,3479,11,4,372,/2000/2001/2002/2003/2012/2013/2015/3400/3467/3477/3479/3480/,ED985C,,,f,1753,48264788,734881840,periventricular strum of DPrP
265505222,,"Meyer's loop of optic radiation , right",or-lp,,7,2,8490,265505214,5,10,1542,/4005/9218/9219/9230/265505214/265505222/,F2F1F0,,,f,4373,206523468,734881840,Meyer's loop of optic radiation  right
16379,,bed of the habenular commissure,BHbC,11,12,3,8390,16378,8,17,850,/15564/15565/15566/16308/16375/16376/16377/16378/16379/,FEF3A8,,,f,10767,3936064022,734881840,bed of the habenular commissure
9709,,choroid plexus of the third ventricle,CP3V,,7,3,8490,9420,4,10,1835,/4005/9352/9418/9420/9709/,872601,,,f,4666,1603709218,734881840,choroid plexus of the third ventricle
13299,,outer VZ in caudal midinferior temporal cortex (area TF),tVZtfo,,11,3,8660,13184,11,16,580,/10153/10154/10155/10156/10157/10506/10542/10546/15512/12005/13184/13299/,A74677,,,f,7180,2012123851,734881840,outer VZ in caudal midinferior temporal cortex (area TF)
112765989,,m2 roof,m2R,5,112755220,3,8000,112765987,5,112755225,1142,/112763676/112763678/112765779/112765985/112765987/112765989/,93EC93,,,f,13241,997666038,734881840,m2 roof
146034714,,ventral part of AAA,AAAv,,11,3,8660,10362,9,16,1763,/10153/10154/10155/10156/10157/10158/10331/10361/10362/146034714/,92C851,,,f,8363,423309109,734881840,ventral part of AAA
309780764,,Cellular Tumor sampled by low expression of genes POSTN and IGFBP2,CT-control-POSTN-IGFBP2,,10,3,8040,309780644,4,15,58,/9429/301810157/122767073/309780644/309780764/,05D004,,,f,6553,1145571946,734881840,Cellular Tumor sampled by low expression of genes POSTN and IGFBP2
10250,,intermediate subdivision of area 21,A21i,,11,3,8660,10248,11,16,1149,/10153/10154/10155/10156/10157/10158/10159/10160/10235/13324/10248/10250/,D55C92,,,f,7749,4174792642,734881840,intermediate subdivision of area 21
15754,,ventricular zone of DgSe,DgSev,9,12,3,8390,15753,10,17,194,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15753/15754/,FAA41A,,,f,10111,3511156867,734881840,ventricular zone of DgSe
4442,4436,"dorsal lateral geniculate nucleus, left, parvocellular layers",LGdp,,7,1,8490,4440,7,10,728,/4005/4006/4391/4392/4393/12922/4440/4442/,A9E855,,,f,3559,3665538576,734881840,dorsal lateral geniculate nucleus left parvocellular layers
11889,,inner plexiform (fiber) zone in orbital frontal cortex,fSZorip,,11,3,8660,11888,10,16,428,/10153/10154/10155/10156/10157/10506/10536/10537/11885/11888/11889/,D5C699,,,f,7028,316357011,734881840,inner plexiform (fiber) zone in orbital frontal cortex
11253,,layer I of dysgranular insular cortex,RIdg1,,11,3,8660,15513,11,16,1346,/10153/10154/10155/10156/10157/10158/10159/10160/10288/10289/15513/11253/,EABFB0,,,f,7946,320607500,734881840,layer I of dysgranular insular cortex
5200,5199,intermediate white layer of SC,InWh,11,8,3,8000,5664,10,13,929,/6070/5012/5488/5464/6014/5448/8122/5778/5694/5664/5200/,32DF6A,,,f,5599,1274100030,734881840,intermediate white layer of SC
3492,3492,intermediate stratum of LAP,LAPi,10,2,3,8000,3490,11,4,384,/2000/2001/2002/2003/2012/2013/2015/3400/3467/3488/3490/3492/,ED985C,,,f,1765,1686379236,734881840,intermediate stratum of LAP
111220560,,superficial stratum of DPall,DPalls,10,12,3,8390,111220554,10,17,453,/15564/15565/15566/15567/15738/15739/15750/15903/16001/111220554/111220560/,F32F4F,,,f,10370,264421234,734881840,superficial stratum of DPall
8412,8411,mantle zone of ZIF,ZIFm,9,8,3,8000,4976,9,13,584,/6070/5012/5450/5440/7386/8238/6636/6462/4976/8412/,EEF291,,,f,5254,3500511173,734881840,mantle zone of ZIF
12318,,ventricular (matrix) zone of midbrain,VZM,,11,3,8660,12314,6,16,2611,/10153/10154/10155/10648/10649/12314/12318/,81696B,,,f,9211,8969987,734881840,ventricular (matrix) zone of midbrain
743,941,"Entorhinal area, medial part, dorsal zone, layer 6",ENTm6,11,1,3,8690,926,9,1,516,/997/8/567/688/695/1089/822/909/926/743/,32B825,,,f,517,301262618,734881840,Entorhinal area medial part dorsal zone layer 6
10706,,"Lingula (I), Purkinje layer",LINGpu,11,1,3,8690,912,6,1,1022,/997/8/512/528/645/912/10706/,FFFC91,,,f,1023,3462350943,734881840,Lingula (I) Purkinje layer
13239,,granular cell layer of VeA,VeAg,,11,3,8660,12379,10,16,2681,/10153/10154/10155/10653/10654/10655/10656/10657/10658/12379/13239/,115A95,,,f,9281,1844009647,734881840,granular cell layer of VeA
16131,,Field CA1,CA1,11,12,3,8390,16130,12,17,587,/15564/15565/15566/15567/15738/15739/15750/15903/16114/16124/16126/16130/16131/,FF5974,,,f,10504,612190852,734881840,Field CA1
16691,,zonal layer of SC,Zo,11,12,3,8390,16688,10,17,1177,/15564/15565/16649/16650/16651/16658/16668/16678/16680/16688/16691/,4EC54E,,,f,11094,2241979764,734881840,zonal layer of SC
799,99,Dentate gyrus medial blade,DGmb,9,1,3,8690,726,8,1,486,/997/8/567/688/695/1089/1080/726/799/,7ED04B,,,f,487,2717315927,734881840,Dentate gyrus medial blade
6392,6391,mantle zone of PHyB-P,PHyB-Pm,9,8,3,8000,6838,8,13,521,/6070/5012/5450/5866/8224/5034/5392/6838/6392/,ED1895,,,f,5191,2121199134,734881840,mantle zone of PHyB-P
112765166,,ventricular zone of ZIC,ZICv,9,112755220,3,8000,112765164,9,112755225,732,/112763676/112763678/112763680/112765096/112765098/112765100/112765106/112765144/112765164/112765166/,FFF4A4,,,f,13016,4228224469,734881840,ventricular zone of ZIC
4662,4656,"arcuate nucleus of the hypothalamus, right, medial part",ArcM,,7,2,8490,4659,7,10,670,/4005/4006/4391/4540/4633/12913/4659/4662/,7FFF97,,,f,3501,1160317233,734881840,arcuate nucleus of the hypothalamus right medial part
6974,6973,ventricular zone of CPaA,CPav,9,8,3,8000,6612,8,13,459,/6070/5012/5450/5866/8224/5034/5378/6612/6974/,ED4795,,,f,5129,3167255439,734881840,ventricular zone of CPaA
17277,,mantle zone of r5BM,r5BMm,9,12,3,8390,17275,7,17,1899,/15564/15565/16808/17220/17221/17250/17275/17277/,3296E6,,,f,11816,1840288497,734881840,mantle zone of r5BM
111220904,,superficial stratum of r10Tr,r10Trs,10,12,3,8390,17549,8,17,2267,/15564/15565/16808/17352/17538/17540/17547/17549/111220904/,A6E0CB,,,f,12184,584558381,734881840,superficial stratum of r10Tr
5400,5399,ventricular zone of cerebellar vermis,CbVv,9,8,3,8000,7060,8,13,1067,/6070/5012/5460/6626/8192/7400/7182/7060/5400/,FF59E0,,,f,5737,589030741,734881840,ventricular zone of cerebellar vermis
266441173,,layer III of area 44op,A44op3,,11,3,8660,266441161,13,16,771,/10153/10154/10155/10156/10157/10158/10159/10160/10161/10172/10185/10186/266441161/266441173/,D4B235,,,f,7371,1571356373,734881840,layer III of area 44op
12515,,interstitial nucleus of medial longitudinal fasciculus,IMLF,,11,3,8660,12503,9,16,2858,/10153/10154/10155/10653/10654/10655/10661/12416/12503/12515/,517DBE,,,f,9458,1696096270,734881840,interstitial nucleus of medial longitudinal fasciculus
265505338,,subcallosal fasciculus,scf,,7,3,8490,9230,4,10,1583,/4005/9218/9219/9230/265505338/,F2F1F0,,,f,4414,49717198,734881840,subcallosal fasciculus
198,590,pyramidal decussation,pyd,9,1,3,8690,784,4,1,1208,/997/1009/983/784/198/,CCCCCC,,,f,1209,3272625759,734881840,pyramidal decussation
17210,,periventricular stratum of r4BM,r4BMp,10,12,3,8390,17209,8,17,1810,/15564/15565/16808/17092/17156/17182/17207/17209/17210/,8E59E6,,,f,11727,3875400799,734881840,periventricular stratum of r4BM
111220902,,intermediate stratum of r10Tr,r10Tri,10,12,3,8390,17549,8,17,2264,/15564/15565/16808/17352/17538/17540/17547/17549/111220902/,A6E0CB,,,f,12181,3683409138,734881840,intermediate stratum of r10Tr
146034908,,adjoining structures of forebrain ventricles,ASFV,,11,3,8660,10609,5,16,2443,/10153/10154/10155/10156/10609/146034908/,6D6E70,,,f,9043,2969324266,734881840,adjoining structures of forebrain ventricles
4066,4060,"paraterminal gyrus, left",PTG,,7,1,8490,4065,6,10,62,/4005/4006/4007/4008/4009/4065/4066/,E8D059,,,f,2893,2526742743,734881840,paraterminal gyrus left
4063,4057,"subcallosal cingulate gyrus, left",SCG,,7,1,8490,4062,7,10,122,/4005/4006/4007/4008/4219/4220/4062/4063/,7F5F33,,,f,2953,4093213666,734881840,subcallosal cingulate gyrus left
16006,,intermediate stratum of FCx (white matter/subplate),FCi,10,12,3,8390,16004,11,17,458,/15564/15565/15566/15567/15738/15739/15750/15903/16001/16002/16004/16006/,F32F4F,,,f,10375,516319945,734881840,intermediate stratum of FCx (white matter/subplate)
16058,,insular cortex,InsCx,8,12,3,8390,16001,9,17,510,/15564/15565/15566/15567/15738/15739/15750/15903/16001/16058/,F2193C,,,f,10427,991428482,734881840,insular cortex
17056,,mantle zone of r2BL,r2BLm,9,12,3,8390,17054,7,17,1612,/15564/15565/16808/16809/17023/17053/17054/17056/,D673E6,,,f,11529,536392930,734881840,mantle zone of r2BL
112892331,,superficial stratum of r1F,r1Fs,10,12,3,8390,112892325,7,17,1560,/15564/15565/16808/16809/16915/17022/112892325/112892331/,BE4ACC,,,f,11477,223385104,734881840,superficial stratum of r1F
11156,,layer V of area 38,A38-5,,11,3,8660,10266,10,16,1241,/10153/10154/10155/10156/10157/10158/10159/10160/10235/10266/11156/,D55C92,,,f,7841,1573860824,734881840,layer V of area 38
9356,,superior frontal sulcus,sfrs,,7,3,8490,9354,4,10,1782,/4005/9352/9353/9354/9356/,6D6E70,,,f,4613,3994262727,734881840,superior frontal sulcus
126651570,,"ventricles, rostral secondary prosencephalon",v_RSP,3,12,3,8390,126651566,4,17,2569,/15564/126651558/126651562/126651566/126651570/,A84D10,,,f,12486,3943852489,734881840,ventricles rostral secondary prosencephalon
2157,2157,"ventricles, floor plate of p1",v_p1F,5,2,3,8000,2155,6,4,1026,/2000/2117/2118/2136/2151/2155/2157/,EDA55C,,,f,2407,2641309677,734881840,ventricles floor plate of p1
4044,4038,"inferior frontal gyrus, orbital part",orIFG,,7,3,8490,4035,6,10,29,/4005/4006/4007/4008/4009/4035/4044/,E8C659,,,f,2860,4250738701,734881840,inferior frontal gyrus orbital part
6582,6581,intermediate stratum of isBI,isBIi,10,8,3,8000,6598,8,13,1118,/6070/5012/5460/6626/8192/7406/6726/6598/6582/,FFA6EE,,,f,5788,3002510051,734881840,intermediate stratum of isBI
12607,,subnucleus A of medial nucleus,IOA,,11,3,8660,12605,10,16,2955,/10153/10154/10155/10653/10654/10662/12538/12595/12600/12605/12607/,3E4D89,,,f,9555,3700514867,734881840,subnucleus A of medial nucleus
9113,,"parabigeminal nucleus, right",PBG,,7,2,8490,9111,5,10,859,/4005/4006/9001/9101/9111/9113/,098653,,,f,3690,1492247776,734881840,parabigeminal nucleus right
11251,,layer V of area 31,A31-5,,11,3,8660,10287,11,16,1424,/10153/10154/10155/10156/10157/10158/10159/10160/10277/10285/10287/11251/,E26880,,,f,8024,605261180,734881840,layer V of area 31
13377,,ventricular (germinal) zone of flocculus,CbFTv,,11,3,8660,13370,8,16,3051,/10153/10154/10155/10653/10654/10663/13345/13370/13377/,81696B,,,f,9651,2609042974,734881840,ventricular (germinal) zone of flocculus
112892437,,superficial stratum of r11F,r11Fs,10,12,3,8390,112892431,7,17,2396,/15564/15565/16808/17352/17596/17650/112892431/112892437/,89AE99,,,f,12313,813278443,734881840,superficial stratum of r11F
111220540,,mantle zone of CSPall,CSPallm,9,12,3,8390,15818,9,17,260,/15564/15565/15566/15567/15738/15739/15750/15751/15818/111220540/,EA9E4E,,,f,10177,3441435254,734881840,mantle zone of CSPall
17389,,rostral ventrolateral reticular area,RVL,11,12,3,8390,17388,9,17,2053,/15564/15565/16808/17352/17353/17380/17381/17383/17388/17389/,10C3A7,,,f,11970,2049565440,734881840,rostral ventrolateral reticular area
10042,,layer III of V2,V2-3,,4,3,8190,294021824,5,8,42,/3999/128011350/128011354/294021746/294021824/10042/,B8A26D,,,f,2614,784464094,734881840,layer III of V2
112765739,,periventricular stratum of p1B,p1Bp,10,112755220,3,8000,112765737,8,112755225,1018,/112763676/112763678/112763680/112765096/112765504/112765731/112765733/112765737/112765739/,CCB71D,,,f,13171,4012445199,734881840,periventricular stratum of p1B
265505478,,"ponto-cerebellar tract, right",pncb,,7,2,8490,265505470,5,10,1633,/4005/9218/9287/9288/265505470/265505478/,F2F1F0,,,f,4464,3414790621,734881840,ponto-cerebellar tract right
146035076,,laminar VIII of spinal cord,SpVIII,,11,3,8660,146035048,4,16,3303,/10153/10154/12890/146035048/146035076/,919294,,,f,9903,809236306,734881840,laminar VIII of spinal cord
1158,1,Brain,BRAIN,,6,3,8690,,0,3,0,/1158/,000000,,,f,1368,1913104773,734881840,Brain
111220772,,mantle zone of r5B,r5Bm,9,12,3,8390,17250,6,17,1871,/15564/15565/16808/17220/17221/17250/111220772/,3296E6,,,f,11788,1646029438,734881840,mantle zone of r5B
8538,8537,nucleus of the accessory olfactory tract,NAOT,11,8,3,8000,6148,12,13,348,/6070/5012/5450/5866/8224/6608/7480/8216/6804/5282/6104/6148/8538/,B55D3C,,,f,5018,719541429,734881840,nucleus of the accessory olfactory tract
3831,3831,mantle zone of p2ZL,p2ZLm,9,2,3,8000,3829,8,4,739,/2000/2001/2002/2020/2028/2029/2031/3829/3831/,EDD45C,,,f,2120,938140720,734881840,mantle zone of p2ZL
4198,4192,occipito-temporal gyrus,OTG,,7,3,8490,4180,5,10,195,/4005/4006/4007/4008/4180/4198/,E88A51,,,f,3026,4108662641,734881840,occipito-temporal gyrus
10903,,layer III of area 10l,A10l3,,11,3,8660,10192,12,16,673,/10153/10154/10155/10156/10157/10158/10159/10160/10161/10172/10190/10192/10903/,E1C152,,,f,7273,874639865,734881840,layer III of area 10l
11318,,molecular layer of rostral prosubiculum,ProRmo,,11,3,8660,11317,13,16,1712,/10153/10154/10155/10156/10157/10158/10159/10292/10293/10294/10301/10303/11317/11318/,E6E6EC,,,f,8312,2965658140,734881840,molecular layer of rostral prosubiculum
17034,,r2 part of superior vestibular nucleus,r2SuVe,11,12,3,8390,111220658,9,17,1582,/15564/15565/16808/16809/17023/17025/17031/17033/111220658/17034/,F29EFF,,,f,11499,3500313289,734881840,r2 part of superior vestibular nucleus
17192,,superficial stratum of r4BL,r4BLs,10,12,3,8390,17185,8,17,1792,/15564/15565/16808/17092/17156/17182/17183/17185/17192/,8E59E6,,,f,11709,3530925355,734881840,superficial stratum of r4BL
112766243,,medial part of the isB,isBM,7,112755220,3,8000,112766199,6,112755225,1269,/112763676/112763678/112766069/112766071/112766073/112766199/112766243/,BB2CCC,,,f,13323,2549498321,734881840,medial part of the isB
3723,3723,p3 portion of parabrachial pigmented nucleus,p3PBP,11,2,3,8000,3721,9,4,626,/2000/2001/2002/2020/2021/2025/2026/3718/3721/3723/,EDEC5C,,,f,2007,897990525,734881840,p3 portion of parabrachial pigmented nucleus
16141,,Field CA3,CA3,11,12,3,8390,16130,12,17,597,/15564/15565/15566/15567/15738/15739/15750/15903/16114/16124/16126/16130/16141/,FF5974,,,f,10514,3396545448,734881840,Field CA3
112766295,,ventricular zone of CbH,CbHv,9,112755220,3,8000,112766289,7,112755225,1295,/112763676/112763678/112766069/112766071/112766279/112766287/112766289/112766295/,EE5DFF,,,f,13337,240134603,734881840,ventricular zone of CbH
10358,,islands of Calleja,IsCj,,11,3,8660,10349,8,16,1919,/10153/10154/10155/10156/10157/10158/10331/10349/10358/,858536,,,f,8519,4030628784,734881840,islands of Calleja
621,360,Motor nucleus of trigeminal,V,8,1,3,8690,987,6,1,919,/997/8/343/1065/771/987/621/,FFBA86,,,f,920,298495636,734881840,Motor nucleus of trigeminal
128011350,,telencephalon,Tel,,4,3,8190,3999,1,8,1,/3999/128011350/,EBD6D0,,,f,2573,2480649783,734881840,telencephalon
12972,,SG in dysgranular insular cortex,iSGdg,,11,3,8660,12971,8,16,43,/10153/10154/10155/10156/10157/10506/11580/12971/12972/,BA2E2E,,,f,6643,3052116488,734881840,SG in dysgranular insular cortex
12335,,corticomesencephalic fibers,cme,,11,3,8660,10650,5,16,2623,/10153/10154/10155/10648/10650/12335/,F2F1F0,,,f,9223,1890010508,734881840,corticomesencephalic fibers
12462,,superior olivary complex,SOC,,11,3,8660,12453,9,16,2803,/10153/10154/10155/10653/10654/10655/10661/12416/12453/12462/,4E78B0,,,f,9403,3100081366,734881840,superior olivary complex
2079,2079,r5 basal plate,r5B,5,2,3,8000,2076,5,4,948,/2000/2001/2047/2075/2076/2079/,6E8BFF,,,f,2329,3341391752,734881840,r5 basal plate
6870,6869,optic tract,opt,12,8,3,8000,6354,2,13,1657,/6070/6354/6870/,CCCCCC,,,f,6327,473050819,734881840,optic tract
10276,,area V4 of peristriate cortex,V4,,11,3,8660,10272,11,16,1308,/10153/10154/10155/10156/10157/10158/10159/10160/10268/10270/10272/10276/,D14D46,,,f,7908,3997840604,734881840,area V4 of peristriate cortex
13024,,layers V/VI of area 29,A29-5-6,,11,3,8660,10325,11,16,1573,/10153/10154/10155/10156/10157/10158/10159/10313/10314/10324/10325/13024/,AE8E77,,,f,8173,221127792,734881840,layers V/VI of area 29
11121,,layer V of area 36c,A36c5,,11,3,8660,10259,13,16,1199,/10153/10154/10155/10156/10157/10158/10159/10160/10235/13324/10256/10257/10259/11121/,D670A0,,,f,7799,275736370,734881840,layer V of area 36c
10224,,postcentral subdivision of area 7,A7pc,,11,3,8660,10220,12,16,989,/10153/10154/10155/10156/10157/10158/10159/10160/10208/10214/10215/10220/10224/,E49C33,,,f,7589,4028889694,734881840,postcentral subdivision of area 7
1129,140,Interbrain,IB,3,1,3,8690,343,3,1,640,/997/8/343/1129/,FF7080,,,f,641,3609083732,734881840,Interbrain
2076,2076,rhombomere 5,r5,3,2,3,8000,2075,4,4,945,/2000/2001/2047/2075/2076/,5C75ED,,,f,2326,2464573785,734881840,rhombomere 5
4472,4466,"lateral group of nuclei, right, ventral division",DTLv,,7,2,8490,12925,7,10,766,/4005/4006/4391/4392/4393/12923/12925/4472/,A9E855,,,f,3597,338474711,734881840,lateral group of nuclei right ventral division
600,923,"Dorsal auditory area, layer 2/3",AUDd2/3,11,1,3,8690,1011,8,1,124,/997/8/567/688/695/315/247/1011/600/,019399,,,f,125,2148227545,734881840,Dorsal auditory area layer 2/3
263,32,Anteroventral preoptic nucleus,AVP,8,1,3,8690,141,6,1,737,/997/8/343/1129/1097/141/263/,FF5547,,,f,738,3572986309,734881840,Anteroventral preoptic nucleus
11122,,layer VI of area 36c,A36c6,,11,3,8660,10259,13,16,1200,/10153/10154/10155/10156/10157/10158/10159/10160/10235/13324/10256/10257/10259/11122/,D55C92,,,f,7800,151745397,734881840,layer VI of area 36c
12650,,interfascicular hypoglossal nucleus,IF12,,11,3,8660,12645,8,16,3003,/10153/10154/10155/10653/10654/10662/12538/12645/12650/,727CB6,,,f,9603,878530033,734881840,interfascicular hypoglossal nucleus
4658,4652,"dorsomedial hypothalamic nucleus, right, diffuse part",DMD,,7,2,8490,4656,7,10,677,/4005/4006/4391/4540/4633/12914/4656/4658/,7FFF97,,,f,3508,4004417324,734881840,dorsomedial hypothalamic nucleus right diffuse part
4978,4977,r7 portion of ambiguous motor nucleus (postmigratory position),r7Amb,11,8,3,8000,7384,7,13,1474,/6070/5012/5460/5534/6338/8358/7384/4978/,73C7FF,,,f,6144,1893267007,734881840,r7 portion of ambiguous motor nucleus (postmigratory position)
11935,,outer plexiform zone in posterosuperior (dorsal) parietal cortex,pSZpdop,,11,3,8660,11934,10,16,445,/10153/10154/10155/10156/10157/10506/10536/10539/11933/11934/11935/,EAB87B,,,f,7045,2830253402,734881840,outer plexiform zone in posterosuperior (dorsal) parietal cortex
5990,5989,isthmus proper,Ist,7,8,3,8000,7182,7,13,1044,/6070/5012/5460/6626/8192/7400/7182/5990/,FF26D4,,,f,5714,1394592830,734881840,isthmus proper
8094,8093,superficial stratum of r2BI,r2BIs,10,8,3,8000,8056,8,13,1285,/6070/5012/5460/6626/6300/7546/7108/8056/8094/,CEA6FF,,,f,5955,2794597654,734881840,superficial stratum of r2BI
10489,,dorsal part of ventromedial hypothalamic nucleus,VMHd,,11,3,8660,10488,9,16,2086,/10153/10154/10155/10156/10157/10389/10467/10483/10488/10489/,C178A2,,,f,8686,6205718,734881840,dorsal part of ventromedial hypothalamic nucleus
5076,5075,ventricular zone of PcPV,PcPVv,9,8,3,8000,6062,9,13,785,/6070/5012/5450/5440/7372/7814/7794/6840/6062/5076/,CCA15C,,,f,5455,2647087682,734881840,ventricular zone of PcPV
16415,,intralaminar nuclei,IL,11,12,3,8390,16409,11,17,888,/15564/15565/15566/16308/16375/16376/16382/16395/16396/16398/16409/16415/,FFF189,,,f,10805,792661609,734881840,intralaminar nuclei
17797,,descending trigeminal tract,sp5,12,12,3,8390,17735,2,17,2554,/15564/17735/17797/,CCCCCC,,,f,12471,3455080626,734881840,descending trigeminal tract
8256,8255,oval paracentral nucleus,OPC,12,8,3,8000,7858,12,13,653,/6070/5012/5450/5440/7380/5452/7196/8178/6344/8352/8336/7858/8256/,BFAC4D,,,f,5323,2531927429,734881840,oval paracentral nucleus
5010,5009,mantle zone of PcPV,PcPVm,9,8,3,8000,6062,9,13,786,/6070/5012/5450/5440/7372/7814/7794/6840/6062/5010/,CCA15C,,,f,5456,4247461497,734881840,mantle zone of PcPV
15790,,"nucleus of the stria terminalis, medial division, ventral part",BSTMv,12,12,3,8390,15789,13,17,230,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15785/15787/15788/15789/15790/,F5853A,,,f,10147,3917063894,734881840,nucleus of the stria terminalis medial division ventral part
5078,5077,anteromedial nucleus,AM,12,8,3,8000,5416,12,13,661,/6070/5012/5450/5440/7380/5452/7196/8178/6344/8352/8336/5416/5078/,BFAC4D,,,f,5331,517105915,734881840,anteromedial nucleus
17773,,lateral olfactory tract,lot,12,12,3,8390,17735,2,17,2530,/15564/17735/17773/,CCCCCC,,,f,12447,4275693544,734881840,lateral olfactory tract
9477,,"interfascicular nucleus, right",IF,,7,2,8490,9068,6,10,988,/4005/4006/9001/9002/9066/9068/9477/,349009,,,f,3819,1603208208,734881840,interfascicular nucleus right
12819,,locus coeruleus,LC,,11,3,8660,146035012,7,16,3268,/10153/10154/10155/10653/10670/12856/146035012/12819/,517DBE,,,f,9868,1271390317,734881840,locus coeruleus
16206,,ventricular zone of TelH,TelHv,9,12,3,8390,16205,8,17,671,/15564/15565/15566/15567/15738/15739/15750/16205/16206/,AB382E,,,f,10588,2681533755,734881840,ventricular zone of TelH
