Gene,EntrezID
Anxa11,11744.0
Anxa3,11745.0
Anxa4,11746.0
Anxa5,11747.0
Anxa6,11749.0
Anxa7,11750.0
Anxa8,11752.0
Aoc3,11754.0
Prdx3,11757.0
Prdx6,11758.0
Aox1,11761.0
Ap1b1,11764.0
Ap1g1,11765.0
Ap1g2,11766.0
Ap1m1,11767.0
Ap1m2,11768.0
Ap1s1,11769.0
Fabp4,11770.0
Ap2a1,11771.0
Ap2a2,11772.0
Ap2m1,11773.0
Ap3b1,11774.0
Ap3b2,11775.0
Ap3d1,11776.0
Ap3s1,11777.0
Ap3s2,11778.0
Ap4m1,11781.0
Ap4s1,11782.0
Apaf1,11783.0
Apba2,11784.0
Apbb1,11785.0
Apbb2,11787.0
Apc,11789.0
Speg,11790.0
Apex1,11792.0
Atg5,11793.0
Birc3,11796.0
Birc2,11797.0
Xiap,11798.0
Birc5,11799.0
Api5,11800.0
Cd5l,11801.0
Aplp1,11803.0
Aplp2,11804.0
Apoa1,11806.0
Apoa2,11807.0
Apoa4,11808.0
Apobec2,11811.0
Apoc1,11812.0
Apoc2,11813.0
Apoc3,11814.0
Apod,11815.0
Apoe,11816.0
Apoh,11818.0
Nr2f2,11819.0
App,11820.0
Aprt,11821.0
Aqp1,11826.0
Aqp2,11827.0
Aqp3,11828.0
Aqp4,11829.0
Aqp5,11830.0
Aqp7,11832.0
Aqp8,11833.0
Aqr,11834.0
Ar,11835.0
Araf,11836.0
Rplp0,11837.0
Arc,11838.0
Areg,11839.0
Arf1,11840.0
Arf2,11841.0
Arf3,11842.0
Arf4,11843.0
Arf5,11844.0
Arf6,11845.0
Arg1,11846.0
Arg2,11847.0
Rhoa,11848.0
Rhob,11852.0
Rhoc,11853.0
Rhod,11854.0
Arhgap5,11855.0
Arhgap6,11856.0
Arhgdib,11857.0
Rnd2,11858.0
Phox2a,11859.0
Arl4a,11861.0
Arnt,11863.0
Arnt2,11864.0
Arntl,11865.0
Arpc1b,11867.0
Art1,11870.0
Art2a-ps,
Art2b,11872.0
Art5,11875.0
Artn,11876.0
Arvcf,11877.0
Arx,11878.0
Arsb,11881.0
Arsa,11883.0
Asah1,11886.0
Asgr1,11889.0
Asgr2,11890.0
Rab27a,11891.0
Astn1,11899.0
Serpinc1,11905.0
Zfhx3,11906.0
Ate1,11907.0
Atf1,11908.0
Atf2,11909.0
Atf3,11910.0
Atf4,11911.0
Atm,11920.0
Atoh1,11921.0
Neurod6,11922.0
Neurod4,11923.0
Neurog2,11924.0
Neurog3,11925.0
Atox1,11927.0
Atp1a1,11928.0
Atp1b1,11931.0
Atp1b2,11932.0
Atp1b3,11933.0
Fxyd2,11936.0
Atp2a1,11937.0
Atp2a2,11938.0
Atp2b2,11941.0
Atp4a,11944.0
Atp4b,11945.0
Atp5a1,11946.0
Atp5b,11947.0
Atp5c1,11949.0
Atp5f1,11950.0
Atp5g1,11951.0
Atp5j,11957.0
Atp5k,11958.0
Atp6v1a,11964.0
Atp6v1b2,11966.0
Atp6v0d1,11972.0
Atp6v1e1,11973.0
Atp6v0e,11974.0
Atp6v0a1,11975.0
Atp7a,11977.0
Atp7b,11979.0
Atp8a1,11980.0
Atp9a,11981.0
Atp10a,11982.0
Atpif1,11983.0
Atp6v0c,11984.0
Slc7a1,11987.0
Slc7a2,11988.0
Slc7a3,11989.0
Atrn,11990.0
Hnrnpd,11991.0
Auh,11992.0
Aup1,11993.0
Pcdh15,11994.0
Akr1b7,11997.0
Avp,11998.0
Avpr2,12000.0
Axin1,12005.0
Axin2,12006.0
Azgp1,12007.0
Cep131,12009.0
B2m,12010.0
Baat,12012.0
Bach1,12013.0
Bach2,12014.0
Bad,12015.0
Bag1,12017.0
Bak1,12018.0
Nkx3-2,
Bard1,12021.0
Barx1,12022.0
Barx2,12023.0
Bax,12028.0
Bcl6b,12029.0
Bcan,12032.0
Bcap29,12033.0
Phb2,12034.0
Bcat1,12035.0
Bcat2,12036.0
Bche,12038.0
Bckdha,12039.0
Bckdhb,12040.0
Bckdk,12041.0
Bcl10,12042.0
Bcl2,12043.0
Bcl2a1a,12044.0
Bcl2a1b,12045.0
Bcl2a1d,12047.0
Bcl2l1,12048.0
Bcl2l10,12049.0
Bcl2l2,12050.0
Bcl3,12051.0
Bcl6,12053.0
Bcl7b,12054.0
Bcl7c,12055.0
Opn1sw,12057.0
Bdkrb1,12061.0
Bdkrb2,12062.0
Bdnf,12064.0
Bet1,12068.0
Bex2,12069.0
Ngfrap1,12070.0
Bfsp1,12075.0
Glb1,12091.0
Bglap3,12095.0
Bgn,12111.0
Bhmt,12116.0
Bicd1,12121.0
Bid,12122.0
Hrk,12123.0
Bik,12124.0
Bcl2l11,12125.0
Fabp7,12140.0
Prdm1,12142.0
Blk,12143.0
Blm,12144.0
Cxcr5,12145.0
Bmi1,12151.0
Bmp1,12153.0
Bmp10,12154.0
Bmp15,12155.0
Bmp2,12156.0
Bmp4,12159.0
Bmp5,12160.0
Bmp6,12161.0
Bmp7,12162.0
Bmp8a,12163.0
Bmp8b,12164.0
Gdf2,12165.0
Bmpr1a,12166.0
Bmpr1b,12167.0
Bmpr2,12168.0
Bmx,12169.0
Bnc1,12173.0
Bnip2,12175.0
Bnip3,12176.0
Bnip3l,12177.0
Smyd1,12180.0
Bop1,12181.0
Bst1,12182.0
Bpgm,12183.0
Brca1,12189.0
Brca2,12190.0
Zfp36l1,12192.0
Zfp36l2,12193.0
Brs3,12209.0
Birc6,12211.0
Bsg,12215.0
Bsn,12217.0
Btc,12223.0
Klf5,12224.0
Btg1,12226.0
Btg2,12227.0
Btg3,12228.0
Btk,12229.0
Btn1a1,12231.0
Btrc,12234.0
Bub1,12235.0
Bub1b,12236.0
Bub3,12237.0
Commd3,12238.0
Tspo,12257.0
Serping1,12258.0
C1qa,12259.0
C1qb,12260.0
C1qbp,12261.0
C1qc,12262.0
C2,12263.0
Ciita,12265.0
C3,12266.0
C3ar1,12267.0
C4b,12268.0
C4bp,12269.0
C5ar1,12273.0
C6,12274.0
Hyou1,12282.0
Cab39,12283.0
Cacna1a,12286.0
Cacna1b,12287.0
Cacna1c,12288.0
Cacna1d,12289.0
Cacna1e,12290.0
Cacna1g,12291.0
Cacna1s,12292.0
Cacna2d1,12293.0
Cacna2d3,12294.0
Cacnb1,12295.0
Cacnb2,12296.0
Cacnb3,12297.0
Cacnb4,12298.0
Cacng1,12299.0
Cacng2,12300.0
Cacybp,12301.0
Pdia4,12304.0
Ddr1,12305.0
Anxa2,12306.0
Calb1,12307.0
Calb2,12308.0
S100g,12309.0
Calca,12310.0
Calcr,12311.0
Calm1,12313.0
Calm2,12314.0
Aspm,12316.0
Calr,12317.0
Car8,12319.0
Calu,12321.0
Camk2a,12322.0
Camk2b,12323.0
Camk2g,12325.0
Camk4,12326.0
Canx,12330.0
Cap1,12331.0
Capg,12332.0
Capn1,12333.0
Capn2,12334.0
Capn3,12335.0
Capns1,12336.0
Capn5,12337.0
Capn6,12338.0
Capn7,12339.0
Capza1,12340.0
Capza3,12344.0
Capzb,12345.0
Car1,12346.0
Car11,12348.0
Car2,12349.0
Car3,12350.0
Car4,12351.0
Car5a,12352.0
Car6,12353.0
Car7,12354.0
Nr1i3,12355.0
Cat,12359.0
Cask,12361.0
Casp4,12363.0
Casp12,12364.0
Casp14,12365.0
Casp2,12366.0
Casp3,12367.0
Casp6,12368.0
Casp7,12369.0
Casp8,12370.0
Casp9,12371.0
Casq1,12372.0
Casq2,12373.0
Casr,12374.0
Cast,12380.0
Ctnna1,12385.0
Ctnna2,12386.0
Ctnnb1,12387.0
Ctnnd1,12388.0
Cav1,12389.0
Cav2,12390.0
Cav3,12391.0
Runx2,12393.0
Runx1,12394.0
Runx1t1,12395.0
Cbfa2t2,12396.0
Cbfa2t3,12398.0
Runx3,12399.0
Cbfb,12400.0
Serpina6,12401.0
Cbl,12402.0
Cbln1,12404.0
Cbln2,12405.0
Serpinh1,12406.0
Cbr1,12408.0
Cbr2,12409.0
Cbs,12411.0
Cbx1,12412.0
Cbx2,12416.0
Cbx3,12417.0
Cbx4,12418.0
Cbx5,12419.0
Rb1cc1,12421.0
Cck,12424.0
Cckar,12425.0
Cckbr,12426.0
Ccna1,12427.0
Ccna2,12428.0
Ccnb2,12442.0
Ccnd1,12443.0
Ccnd2,12444.0
Ccnd3,12445.0
Ccne1,12447.0
Ccne2,12448.0
Ccnf,12449.0
Ccng1,12450.0
Ccng2,12452.0
Ccni,12453.0
Ccnk,12454.0
Ccnt1,12455.0
Ccrn4l,12457.0
Ccr6,12458.0
Ccs,12460.0
Cct2,12461.0
Cct3,12462.0
Cct4,12464.0
Cct5,12465.0
Cct6a,12466.0
Cct6b,12467.0
Cct7,12468.0
Cct8,12469.0
Cd14,12475.0
Cd151,12476.0
Ctla4,12477.0
Cd19,12478.0
Cd1d1,12479.0
Cd1d2,12480.0
Cd2,12481.0
Ms4a1,12482.0
Cd22,12483.0
Cd24a,12484.0
Cd28,12487.0
Cd2ap,12488.0
Cd33,12489.0
Cd34,12490.0
Cd36,12491.0
Scarb2,12492.0
Cd37,12493.0
Cd38,12494.0
Entpd1,12495.0
Entpd2,12496.0
Entpd6,12497.0
Entpd5,12499.0
Cd3d,12500.0
Cd3e,12501.0
Cd3g,12502.0
Cd247,12503.0
Cd4,12504.0
Cd44,12505.0
Cd48,12506.0
Cd5,12507.0
Cd53,12508.0
Cd59a,12509.0
Cd6,12511.0
Cd63,12512.0
Cd68,12514.0
Cd69,12515.0
Cd7,12516.0
Cd72,12517.0
Cd79a,12518.0
Cd80,12519.0
Cd81,12520.0
Cd82,12521.0
Cd83,12522.0
Cd84,12523.0
Cd86,12524.0
Cd8a,12525.0
Cd8b1,12526.0
Cd9,12527.0
Cdc25a,12530.0
Cdc25b,12531.0
Cdc25c,12532.0
Cdk1,12534.0
Cdk11b,12537.0
Cdc37,12539.0
Cdc42,12540.0
Cdc45,12544.0
Cdc7,12545.0
Arhgap31,12549.0
Cdh1,12550.0
Cdh11,12552.0
Cdh13,12554.0
Cdh15,12555.0
Cdh16,12556.0
Cdh17,12557.0
Cdh2,12558.0
Cdh3,12560.0
Cdh4,12561.0
Cdh5,12562.0
Cdh6,12563.0
Cdh8,12564.0
Cdh9,12565.0
Cdk2,12566.0
Cdk4,12567.0
Cdk5,12568.0
Cdk5r1,12569.0
Cdk5r2,12570.0
Cdk6,12571.0
Cdk7,12572.0
Cdkn1a,12575.0
Cdkn1b,12576.0
Cdkn1c,12577.0
Cdkn2a,12578.0
Cdkn2b,12579.0
Cdkn2c,12580.0
Cdkn2d,12581.0
Cdo1,12583.0
Cdr2,12585.0
Mia,12587.0
Ift81,12589.0
Cdx1,12590.0
Cdx2,12591.0
Cdx4,12592.0
Cdyl,12593.0
Cebpa,12606.0
Cebpz,12607.0
Cebpd,12609.0
Cebpg,12611.0
Cel,12613.0
Celsr1,12614.0
Cenpa,12615.0
Cenpb,12616.0
Cenpc1,12617.0
Cer1,12622.0
Ces1g,12623.0
Cetn3,12626.0
Cfc1,12627.0
Cfh,12628.0
Cfi,12630.0
Cfl1,12631.0
Cfl2,12632.0
Cflar,12633.0
Cftr,12638.0
Cga,12640.0
Ch25h,12642.0
Chad,12643.0
Chat,12647.0
Chd1,12648.0
Chek1,12649.0
Chga,12652.0
Chgb,12653.0
Chil1,12654.0
Chil3,12655.0
Ovgp1,12659.0
Chka,12660.0
Chl1,12661.0
Chm,12662.0
Chml,12663.0
Chrd,12667.0
Chrm1,12669.0
Chrm3,12671.0
Chrm4,12672.0
Chuk,12675.0
Vsx2,12677.0
Cidea,12683.0
Cideb,12684.0
Elovl3,12686.0
Inadl,12695.0
Cirbp,12696.0
Cish,12700.0
Socs3,12702.0
Cit,12704.0
Cited1,12705.0
Ckb,12709.0
Ckm,12715.0
Ckmt1,12716.0
Coro1a,12721.0
Clca3a1,12722.0
Clcn1,12723.0
Clcn2,12724.0
Clcn3,12725.0
Clcn4-2,
Clcn5,12728.0
Clns1a,12729.0
Clcnka,12733.0
Cldn1,12737.0
Cldn2,12738.0
Cldn4,12740.0
Cldn5,12741.0
Clgn,12745.0
Clk1,12747.0
Clk2,12748.0
Clk4,12750.0
Tpp1,12751.0
Cln3,12752.0
Clock,12753.0
Clta,12757.0
Clu,12759.0
Cmah,12763.0
Cmas,12764.0
Cxcr2,12765.0
Cxcr3,12766.0
Cxcr4,12767.0
Ccr1,12768.0
Ccr9,12769.0
Ccr3,12771.0
Ccr2,12772.0
Ccr4,12773.0
Ccr5,12774.0
Ccr7,12775.0
Ccr8,12776.0
Ccr10,12777.0
Ackr3,12778.0
Abcc2,12780.0
Cnbp,12785.0
Cnga1,12788.0
Cnga2,12789.0
Cnih1,12793.0
Cnih2,12794.0
Plk3,12795.0
Camp,12796.0
Cnn1,12797.0
Cnn2,12798.0
Cnp,12799.0
Cnr1,12801.0
Cnr2,12802.0
Cntf,12803.0
Cntfr,12804.0
Cntn1,12805.0
Hps3,12807.0
Cobl,12808.0
Coch,12810.0
Coil,12812.0
Col10a1,12813.0
Col11a1,12814.0
Col11a2,12815.0
Col12a1,12816.0
Col13a1,12817.0
Col14a1,12818.0
Col15a1,12819.0
Col17a1,12821.0
Col18a1,12822.0
Col19a1,12823.0
Col2a1,12824.0
Col3a1,12825.0
Col4a1,12826.0
Col4a2,12827.0
Col4a3,12828.0
Col4a4,12829.0
Col4a5,12830.0
Col5a1,12831.0
Col5a2,12832.0
Col6a1,12833.0
Col6a2,12834.0
Col6a3,12835.0
Col7a1,12836.0
Col8a1,12837.0
Col9a1,12839.0
Col9a2,12840.0
Col9a3,12841.0
Col1a1,12842.0
Col1a2,12843.0
Comt,12846.0
Copa,12847.0
Cops2,12848.0
Coq7,12850.0
Cort,12854.0
Cox17,12856.0
Cox4i1,12857.0
Cox5a,12858.0
Cox5b,12859.0
Cox6a1,12861.0
Cox6a2,12862.0
Cox6c,12864.0
Cox7a1,12865.0
Cox7a2,12866.0
Cox7c,12867.0
Cox8a,12868.0
Cox8b,12869.0
Cp,12870.0
Cpa3,12873.0
Cpd,12874.0
Cpe,12876.0
Cpeb1,12877.0
Cys1,12879.0
Cplx1,12889.0
Cplx2,12890.0
Cpne6,12891.0
Cpox,12892.0
Cpt1a,12894.0
Cpt1b,12895.0
Cpt2,12896.0
Cr2,12902.0
Crabp1,12903.0
Crabp2,12904.0
Cradd,12905.0
Crat,12908.0
Crcp,12909.0
Creb1,12912.0
Creb3,12913.0
Crebbp,12914.0
Atf6b,12915.0
Crem,12916.0
Crh,12918.0
Crhbp,12919.0
Crhr1,12921.0
Crhr2,12922.0
Crip1,12925.0
Bcar1,12927.0
Crk,12928.0
Crkl,12929.0
Crlf1,12931.0
Crmp1,12933.0
Dpysl2,12934.0
Pcdha4,12936.0
Pcdha6,12937.0
Pcdha7,12939.0
Pcdha5,12941.0
Pcdha11,12942.0
Pcdha10,12943.0
Crp,12944.0
Dmbt1,12945.0
Cr1l,12946.0
Hapln1,12950.0
Crx,12951.0
Cry1,12952.0
Cry2,12953.0
Cryaa,12954.0
Cryab,12955.0
Cryba1,12957.0
Cryba2,12958.0
Cryba4,12959.0
Crybb1,12960.0
Crybb2,12961.0
Crybb3,12962.0
Crygb,12965.0
Crygc,12966.0
Crygd,12967.0
Cryge,12968.0
Crygf,12969.0
Crygs,12970.0
Crym,12971.0
Cryz,12972.0
Cs,12974.0
Csf1,12977.0
Csf1r,12978.0
Csf2,12981.0
Csf2ra,12982.0
Csf2rb2,12984.0
Csf3,12985.0
Csf3r,12986.0
Csk,12988.0
Csn1s1,12990.0
Csn2,12991.0
Csn1s2b,12992.0
Csn1s2a,12993.0
Csn3,12994.0
Csnk2a1,12995.0
Csnk2a2,13000.0
Csnk2b,13001.0
Dnajc5,13002.0
Ncan,13004.0
Smc3,13006.0
Csrp1,13007.0
Csrp2,13008.0
Csrp3,13009.0
Cst3,13010.0
Cst7,13011.0
Cst8,13012.0
Cst9,13013.0
Cstb,13014.0
Ctbp1,13016.0
Ctbp2,13017.0
Ctcf,13018.0
Ctf1,13019.0
Ctla2a,13024.0
Pcyt1a,13026.0
Ctsb,13030.0
Ctsc,13032.0
Ctsd,13033.0
Ctse,13034.0
Ctsg,13035.0
Ctsh,13036.0
Ctsk,13038.0
Ctsl,13039.0
Ctss,13040.0
Ctsw,13041.0
Cttn,13043.0
Celf1,13046.0
Cux1,13047.0
Cux2,13048.0
Cxadr,13052.0
Cyb561,13056.0
Cyba,13057.0
Cybb,13058.0
Cycs,13063.0
Cyct,13067.0
Cyp11a1,13070.0
Cyp17a1,13074.0
Cyp19a1,13075.0
Cyp1a1,13076.0
Cyp1a2,13077.0
Cyp1b1,13078.0
Cyp21a1,13079.0
Cyp24a1,13081.0
Cyp26a1,13082.0
Cyp2a12,13085.0
Cyp2a4,13086.0
Cyp2a5,13087.0
Cyp2b19,13090.0
Cyp2c37,13096.0
Cyp2c38,13097.0
Cyp2d10,13101.0
Cyp2d9,13105.0
Cyp2e1,13106.0
Cyp2f2,13107.0
Cyp2g1,13108.0
Cyp2j5,13109.0
Cyp2j6,13110.0
Cyp3a11,13112.0
Cyp3a13,13113.0
Cyp27b1,13115.0
Cyp46a1,13116.0
Cyp4a10,13117.0
Cyp4a14,13119.0
Cyp51,13121.0
Cyp7a1,13122.0
Cyp7b1,13123.0
Cyp8b1,13124.0
Dab1,13131.0
Dab2,13132.0
Dach1,13134.0
Dad1,13135.0
Daf2,13137.0
Dag1,13138.0
Dgka,13139.0
Dao,13142.0
Dapk2,13143.0
Dapk3,13144.0
Slc6a3,13162.0
Daxx,13163.0
Dazl,13164.0
Dbh,13166.0
Dbi,13167.0
Dbil5,13168.0
Dbnl,13169.0
Dbp,13170.0
Dbt,13171.0
Dbx1,13172.0
Dclk1,13175.0
Dcc,13176.0
Eci1,13177.0
Dck,13178.0
Dcn,13179.0
Pcbd1,13180.0
Dcpp1,13184.0
Dscr3,13185.0
Dct,13190.0
Dctn1,13191.0
Dcx,13193.0
Ddc,13195.0
Asap1,13196.0
Gadd45a,13197.0
Ddit3,13198.0
Ddn,13199.0
Ddost,13200.0
Ddt,13202.0
Dhx15,13204.0
Ddx3x,13205.0
Ddx4,13206.0
Ddx5,13207.0
Ddx6,13209.0
Dhx9,13211.0
Defb1,13214.0
Defa-rs1,
Degs1,13244.0
Slc29a2,13340.0
Twist2,13345.0
Des,13346.0
Dffa,13347.0
Ackr1,13349.0
Dgat1,13350.0
Dgcr6,13353.0
Dgcr2,13356.0
Slc25a1,13358.0
Dhcr7,13360.0
Dhfr,13361.0
Dhh,13363.0
Diap1,13367.0
Dffb,13368.0
Dio1,13370.0
Dio2,13371.0
Dkk1,13380.0
Dld,13382.0
Dlg1,13383.0
Mpp3,13384.0
Dlg4,13385.0
Dlk1,13386.0
Dll1,13388.0
Dll3,13389.0
Dlx1,13390.0
Dlx2,13392.0
Dlx3,13393.0
Dlx4,13394.0
Dlx5,13395.0
Dlx6,13396.0
Dmwd,13401.0
Dmc1,13404.0
Dmd,13405.0
Dmp1,13406.0
Tmc1,13409.0
Dnah11,13411.0
Dnah8,13417.0
Dnajc1,13418.0
Dnase1,13419.0
Dnase1l3,13421.0
Dnase2a,13423.0
Dync1h1,13424.0
Dync1i1,13426.0
Dync1i2,13427.0
Dnm1,13429.0
Dnm2,13430.0
Dnmt1,13433.0
Trdmt1,13434.0
Dnmt3a,13435.0
Dnmt3b,13436.0
Dnpep,13437.0
Cdk2ap1,13445.0
Doc2a,13446.0
Doc2b,13447.0
Dok1,13448.0
Dok2,13449.0
Reep5,13476.0
Dpagt1,13478.0
Dpep1,13479.0
Dpm1,13480.0
Dpm2,13481.0
Dpp4,13482.0
Dpp6,13483.0
Dr1,13486.0
Slc26a3,13487.0
Drd1,13488.0
Drd2,13489.0
Drd3,13490.0
Drd5,13492.0
Drg1,13494.0
Drg2,13495.0
Arid3a,13496.0
Drp2,13497.0
Atn1,13498.0
Dsc1,13505.0
Dsc2,13506.0
Dsc3,13507.0
Dscam,13508.0
Dsg1a,13510.0
Dsg2,13511.0
Dsg3,13512.0
Epyc,13516.0
Dst,13518.0
Slc26a2,13521.0
Adam28,13522.0
Adam18,13524.0
Adam26a,13525.0
Adam24,13526.0
Dtna,13527.0
Dtnb,13528.0
Prl8a2,13529.0
Dusp2,13537.0
Dvl1,13542.0
Dvl2,13543.0
Dvl3,13544.0
Dyrk1a,13548.0
Dyrk1b,13549.0
E2f1,13555.0
E2f3,13557.0
E2f5,13559.0
E4f1,13560.0
Mapre1,13589.0
Lefty1,13590.0
Ebf1,13591.0
Ebf2,13592.0
Ebf3,13593.0
Ebp,13595.0
Ecel1,13599.0
Ecm1,13601.0
Sparcl1,13602.0
Opn3,13603.0
Ect2,13605.0
Eda,13607.0
Edar,13608.0
S1pr1,13609.0
S1pr3,13610.0
S1pr4,13611.0
Edil3,13612.0
Edn1,13614.0
Edn2,13615.0
Edn3,13616.0
Ednra,13617.0
Ednrb,13618.0
Phc1,13619.0
Eed,13626.0
Eef1a1,13627.0
Eef1a2,13628.0
Eef2,13629.0
Efna1,13636.0
Efna2,13637.0
Efna3,13638.0
Efna4,13639.0
Efna5,13640.0
Efnb1,13641.0
Efnb2,13642.0
Efnb3,13643.0
Efs,13644.0
Egf,13645.0
Klk1b9,13648.0
Egfr,13649.0
Rhbdf1,13650.0
Egr1,13653.0
Egr2,13654.0
Egr3,13655.0
Egr4,13656.0
Ehd1,13660.0
Ehf,13661.0
Ei24,13663.0
Eif1a,13664.0
Eif2s1,13665.0
Eif2ak3,13666.0
Eif2b4,13667.0
Eif3a,13669.0
Ddx19a,13680.0
Eif4a1,13681.0
Eif4a2,13682.0
Eif4e,13684.0
Eif4ebp1,13685.0
Eif4ebp2,13688.0
Eif4g2,13690.0
Cela2a,13706.0
Elf1,13709.0
Elf3,13710.0
Elf5,13711.0
Elk1,13712.0
Elk3,13713.0
Elk4,13714.0
Ell,13716.0
Eln,13717.0
Aimp1,13722.0
Emb,13723.0
Emd,13726.0
Mark2,13728.0
Emp1,13730.0
Emp2,13731.0
Emp3,13732.0
Emr1,13733.0
Emx1,13796.0
Emx2,13797.0
En1,13798.0
En2,13799.0
Enah,13800.0
Enam,13801.0
Enc1,13803.0
Endog,13804.0
Eng,13805.0
Eno1,13806.0
Eno2,13807.0
Eno3,13808.0
Enpep,13809.0
Eomes,13813.0
Epas1,13819.0
Epb4.1l1,
Epb4.1l2,
Epb4.1l3,
Epb4.1l4a,
Epb4.2,
Dmtn,13829.0
Stom,13830.0
Epc1,13831.0
Epha1,13835.0
Epha2,13836.0
Epha3,13837.0
Epha4,13838.0
Epha5,13839.0
Epha6,13840.0
Epha7,13841.0
Epha8,13842.0
Ephb2,13844.0
Ephb3,13845.0
Ephb4,13846.0
Ephb6,13848.0
Ephx1,13849.0
Ephx2,13850.0
Stx2,13852.0
Epm2a,13853.0
Epn1,13854.0
Epn2,13855.0
Epo,13856.0
Epor,13857.0
Eps15,13858.0
Eps15l1,13859.0
Eps8,13860.0
Epx,13861.0
Lcn5,13863.0
Nr2f6,13864.0
Nr2f1,13865.0
Erbb2,13866.0
Erbb3,13867.0
Erbb4,13869.0
Ercc1,13870.0
Ercc2,13871.0
Ercc3,13872.0
Ereg,13874.0
Erf,13875.0
Erg,13876.0
Erh,13877.0
Ces1c,13884.0
Esd,13885.0
Ces3b,13909.0
Ptprv,13924.0
Amz2,13929.0
Gnb1l,13972.0
Esr1,13982.0
Esr2,13983.0
Esx1,13984.0
Smarcad1,13990.0
Khdrbs3,13992.0
Fgd6,13998.0
Chchd2,14004.0
Celf2,14007.0
Etv2,14008.0
Etv1,14009.0
Etv6,14011.0
Mpzl2,14012.0
Mecom,14013.0
Evi2a,14017.0
Evi5,14020.0
Bcl11a,14025.0
Evl,14026.0
Evpl,14027.0
Evx1,14028.0
Evx2,14029.0
Ewsr1,14030.0
Wfdc18,14038.0
Ext1,14042.0
Ext2,14043.0
Eya1,14048.0
Eya2,14049.0
